	RD118	RD122	RD124	RD126	RD127	RD128	RD130	RD131	RD132	RD162	RD165	RD166	RD167	RD168	RD169	RD170	RD171	RD172	RD173	RD174	RDneg	taxonomy
ASV_302	0	7	77	120	45	25	0	162	41	17	0	39	40	193	122	0	48	265	20	24	84	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;;
ASV_310	8	0	168	180	34	53	21	31	48	29	78	40	83	68	134	0	77	81	0	44	38	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;;
ASV_315	15	170	11	67	13	328	0	0	214	0	0	36	215	25	5	26	4	19	22	9	8	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;;
ASV_347	7	16	170	42	51	28	20	19	77	0	29	45	170	83	42	13	0	9	13	118	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;;
ASV_350	6	4	25	107	37	47	0	25	67	40	69	68	17	153	30	0	10	72	17	77	71	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;;
ASV_364	8	0	16	195	20	0	35	6	23	25	0	49	38	255	50	5	12	0	62	96	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;;
ASV_411	0	0	47	81	22	20	11	39	35	10	5	93	42	107	28	5	35	6	17	59	28	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;;
ASV_438	0	55	0	0	89	122	30	0	0	0	0	76	65	144	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;;
ASV_42	281	0	2997	651	714	265	10	901	1746	477	1818	843	5643	2023	632	133	69	182	1101	839	364	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;[Eubacterium] siraeum group;
ASV_79	87	21	437	877	198	318	148	92	129	685	621	1054	597	1109	416	96	234	826	211	345	602	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Anaerotruncus;
ASV_283	11	4	107	62	62	26	0	25	41	55	282	76	302	219	116	11	33	25	15	44	25	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Anaerotruncus;
ASV_384	0	0	57	67	22	23	0	47	23	17	25	88	72	84	18	0	73	60	30	53	34	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Harryflintia;
ASV_306	17	15	113	95	45	74	0	10	123	40	7	207	91	52	108	23	67	0	62	67	49	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Negativibacillus;
ASV_84	0	365	39	22	981	0	0	0	144	832	926	900	1334	159	381	960	0	33	1041	323	416	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus;
ASV_188	639	0	0	0	0	91	0	753	0	0	0	0	0	0	0	0	1293	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus;
ASV_308	0	0	71	34	0	22	13	21	106	38	0	415	310	0	0	0	0	0	0	0	207	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;UBA1819;
ASV_321	31	55	97	53	55	54	0	0	183	0	0	0	0	404	16	0	55	45	35	22	21	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;UBA1819;
ASV_440	0	4	5	35	18	0	0	6	9	10	12	52	69	230	21	12	32	0	0	44	17	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;UBA1819;
ASV_299	106	120	52	55	56	40	24	50	100	161	55	117	27	13	98	12	103	20	27	73	63	Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010;;
ASV_205	222	384	0	101	110	275	0	0	119	158	84	217	122	40	135	130	160	0	187	74	81	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] nodatum group;
ASV_355	129	113	60	56	0	131	20	43	52	41	0	0	0	0	51	36	99	31	49	0	0	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] nodatum group;
ASV_410	71	91	10	33	34	58	11	25	39	43	29	17	26	0	40	39	49	0	60	15	0	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII AD3011 group;
ASV_442	46	19	31	28	30	25	0	45	45	28	30	42	18	36	31	10	30	0	14	46	17	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII AD3011 group;
ASV_343	39	50	15	70	87	20	0	80	64	33	46	44	79	63	11	0	34	64	24	79	60	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII UCG-001;
ASV_285	129	15	106	0	71	137	0	75	69	73	32	128	32	183	255	0	52	0	52	19	110	Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae;Candidatus Saccharimonas;
ASV_40	3373	2083	146	686	600	2740	94	873	719	925	2187	782	146	97	584	3351	1491	59	834	592	286	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella;
ASV_161	519	655	17	165	171	132	26	96	129	360	375	90	45	12	128	82	245	15	93	35	8	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella;
ASV_457	0	0	3	14	31	5	94	0	3	0	0	3	5	38	24	27	3	5	34	16	171	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;;
ASV_12	2	0	27	22311	34600	8	0	30	308	0	104	4	443	57	99	2395	365	4	368	7481	0	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;
